name,batch,one_liner,website,slug,industries,tags,team_size,all_locations,status,stage,agent_type,ai_vertical,ai_tech_strength,ai_confidence,ai_reasoning,long_description
Sol,Fall 2025,Code and browse in the same place,https://www.solbrowser.com,solbrowser,"B2B; Engineering, Product and Design",Artificial Intelligence; Developer Tools; Design; Design Tools,2,"San Francisco, CA, USA",Active,Early,CaaS Platform,Engineering & Dev Tools,Agent Orchestration,0.9,"Sol is a browser that lets developers orchestrate multiple agents from tabs, providing infrastructure for agent orchestration and deployment.","Sol is a browser where developers can orchestrate agents from their tabs. Ship 100x from a single place where agents can see, navigate, and act on your workspace."
Sorce,Fall 2025,Tinder for jobs,https://sorce.jobs,sorce,B2B; Human Resources,Artificial Intelligence; Marketplace; Consumer; Recruiting,5,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,HR & Recruiting,Vertical Agent Product,0.9,"Sorce is an AI agent that applies to jobs on users' behalf, a single-purpose autonomous agent in recruiting.","Tinder for Jobs. Swipe right, AI applies on your behalf."
Specific,Fall 2025,AWS for coding agents,https://specific.dev,specific,"B2B; Engineering, Product and Design",Developer Tools; No-code; DevOps; AI,2,"Stockholm, Stockholm County, Sweden",Active,Early,CaaS Platform,Engineering & Dev Tools,Agent Deployment Infrastructure,0.95,"Specific provides infrastructure and tools to connect coding agents and deploy them, effectively enabling others to build and run autonomous coding agents.",Specific lets your coding agent write code and build the infrastructure to deploy it. Connect your favorite coding agent and start building immediately. Run `specific dev` to get a full local environment running in seconds. Run `specific deploy` to go to production on our scalable cloud platform in minutes.
Structured AI,Fall 2025,AI workforce for Construction Engineering,https://www.getstructured.ai/,structured-ai,Real Estate and Construction; Construction,Computer Vision; Construction; Architecture; AI,10,"New York, NY, USA",Active,Early,Single-Purpose Agent,Real Estate,Vertical Agent Product,0.95,"Structured AI builds specialized AI agents for construction engineering quality control, a vertical-specific autonomous agent product.","Structured AI is building the AI workforce for construction design engineering, starting with AI agents that perform quality control on technical documents and drawings. Our agents learn your standards, apply the right building codes, and automatically review your drawings, so you see fewer clashes, fewer inconsistencies, and fewer costly RFIs and change orders.

⚙️ Automates QA/QC across mechanical, electrical, structural and more
🧩 Used by multi-disciplinary design firms to deliver projects faster with less risk
🚀 Mission: Free engineers to focus on creative design, not repetitive admin"
Sylvian,Fall 2025,Specialized AI Agents.,https://sylvian.ai,sylvian,B2B,Reinforcement Learning; B2B; AI,2,"San Francisco, CA, USA",Inactive,Early,CaaS Platform,General Purpose / Horizontal,Agent Building Platform,0.9,"Sylvian helps companies build specialized AI agents, indicating it provides a platform or framework for creating autonomous agents.",Sylvian helps companies build specialized AI agents. 
Telemetron,Fall 2025,Support and Operations Platform for Hardware Companies,https://www.telemetron.ai/,telemetron-ai,B2B,,2,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Customer Support,Vertical Agent Product,0.9,"Telemetron offers AI agents that autonomously connect to hardware and backend systems to improve support, a vertical-specific autonomous agent product.","Telemetron is an AI-powered support platform tailored for hardware products (medical devices, consumer electronics, industrial hardware, robotics, and more). 

Our platform unifies ticketing, device diagnostics, order tracking, and product documentation into one intelligent system. Our AI agents connect directly to devices, APIs, and backend systems to deliver faster resolutions, smarter routing, and better support experiences."
The Context Company,Fall 2025,Monitor AI agents and understand user behavior,https://thecontext.company,the-context-company,"B2B; Engineering, Product and Design",Artificial Intelligence; Developer Tools; B2B; Analytics; Monitoring,2,"San Francisco, CA, USA",Active,Early,CaaS Platform,Infrastructure & DevOps,Agent Evaluation & Monitoring,0.95,"The Context Company provides monitoring and analytics specifically for AI agents, enabling teams to evaluate and improve autonomous agents.","Understand user patterns and find silent failures in your AI agents.

The Context Company helps teams analyze AI agent conversations to surface user behavior patterns, performance trends, and moments where agents struggle - so teams know what’s working, what’s not, and what to improve next.

We turn raw conversations into structured signals: topic clustering, user feedback analysis, custom pattern tracking, and alerts. All alongside traditional observability like traces, tool calls, latency, and costs.

Get started in less than 10 lines of code."
Trelium,Fall 2025,The Agent to Build Your Agents,https://www.trelium.com,trelium,B2B,B2B; Workflow Automation; AI,6,"San Francisco, CA, USA; Remote",Active,Early,CaaS Platform,General Purpose / Horizontal,Agent Building Platform,0.9,"Trelium brands itself as 'The Agent to Build Your Agents,' indicating it provides a platform for building autonomous AI agents.",
Veria Labs,Fall 2025,Continuous AI pentesting that finds and fixes vulnerabilities,https://verialabs.com,veria-labs,B2B; Security,Security; Cybersecurity; AI,3,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Security,Vertical Agent Product,0.95,"Veria Labs develops AI agents specialized in continuous pentesting and vulnerability detection, providing a specific autonomous agent product for security.","Veria Labs is developing AI agents that hack better than the best human hackers. Founded by members of the #1 US competitive hacking team, we've already found critical bugs in AI tools, operating systems, fintech and billion dollar crypto exchanges. 

Now we're scaling that expertise through AI-native security tooling that operates faster than human researchers while finding deeper, more complex vulnerabilities that traditional tools miss."
Zalos,Fall 2025,"Computer Agents for Finance tasks like reconciliation, in your system!",https://www.zalos.ai/,zalos,B2B; Operations,,2,"London, United Kingdom",Active,Early,Single-Purpose Agent,Finance & Accounting,Vertical Agent Product,0.95,"Zalos offers AI agents that automate finance operations tasks within existing finance systems, acting as specialized autonomous agents for finance.","*Eliminate your Finance Operations grunt work!*
⚡Computer Agent logs into existing systems (e.g., ERP, Accounting, other CFO systems)
⚡Automates Finance processes (e.g., pricing, billing, month-end)
⚡Uploads & submits in your system (e.g., create journal entry)

*The Blockers ➜ Your Finance Systems:*
Finance Operations is buried in repetitive tasks, driving:
❌ Lack finance visibility for decision-making
❌ Wasted time by in-house or outsourced teams
❌ Mistakes and delays from human-driven processes

Barriers to FinOps automation have included:
🚨 Legacy ERPs with limited AI
🚨 Authentication-protected websites & portals
🚨 Too many Finance Systems that lack full integrations

It doesn’t have to be this way.

⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻
*The Breakthrough ➜ Zalos:*

Zalos Agents run your rule-based processes, using your existing Finance applications:
⭐ Our agents automate processes based on simple instructions (e.g., Screen Recording, PDFs)
⭐ Native handling of ERPs or other applications (e.g., 2FA, Captcha)
⭐ Superior performance from our FinOps libraries (e.g., Data Extraction & Harmonization, Reconciliation, etc.)

Customer story:
FROM: In the Bay area, a Finance Manager was wasting 8 days (!) per month:
✖️ Downloads transactions from Corporate Credit Cards & legacy Banks
✖️ Uploads into NetSuite and manually categorizes 100s of transactions

USING ZALOS: Finance Manager schedules ‘run process’ weekly:
✔️ Zalos handles 2FA to download & submit required transactions
✔️ Zalos operates NetSuite to categorize >60% outstanding transactions

*

No browser required: Zalos works silently in the background, whilst continuously improving itself. 

Gaining 2 days per week was transformational. The Finance Manager could
🟪 Reduce financial risks with closer inspection (e.g., debt covenants) 
🟪 Catch cash leakages by spotting suppliers being paid at generous terms
🟪 Be a strategic partner to the CEO & business with better analysis

⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻
Zalos transforms your Finance Operations:
☑️ Scale without headcount - don’t let Operations teams be a bottleneck
☑️ Smarter every day, with evals & RL-finetuning driving a self-performing system
☑️ Built for Enterprise-grade security and screen records every automation for audit

➡Interested? Request demo here: https://www.zalos.ai/contact-us
"
